revid,timestamp,label,description,alias,action,language,property
434020977,2017-01-21T16:03:38Z,,nb,,update,nb,P1055
610174540,2017-12-17T08:03:42Z,ar,,,add,ar,P1055
610174542,2017-12-17T08:03:42Z,,,ar,add,ar,P1055
610174638,2017-12-17T08:04:04Z,ar,,,update,ar,P1055
610174642,2017-12-17T08:04:04Z,,,ar,update,ar,P1055
610306255,2017-12-17T17:06:40Z,uk,,,add,uk,P1055
610306257,2017-12-17T17:06:40Z,,uk,,add,uk,P1055
621801120,2018-01-20T03:40:03Z,,fr,,update,fr,P1055
697307888,2018-06-16T23:48:16Z,zh-hans,,,add,zh-hans,P1055
697307913,2018-06-16T23:48:20Z,,zh-hans,,add,zh-hans,P1055
720205723,2018-08-03T04:01:03Z,fr,,,update,fr,P1055
720205724,2018-08-03T04:01:03Z,,,fr,add,fr,P1055
720205907,2018-08-03T04:02:04Z,fr,,,update,fr,P1055
720211954,2018-08-03T04:27:59Z,fr,,,update,fr,P1055
722902205,2018-08-08T12:21:49Z,nn,,,add,nn,P1055
722902208,2018-08-08T12:21:50Z,,,nn,add,nn,P1055
139166019,2014-06-20T18:08:21Z,en,,,add,en,P1363
139457092,2014-06-21T19:52:03Z,fa,,,add,fa,P1363
139920367,2014-06-23T11:19:27Z,sr,,,add,sr,P1363
139920371,2014-06-23T11:19:30Z,sr-ec,,,add,sr-ec,P1363
139920382,2014-06-23T11:19:38Z,sr-el,,,add,sr-el,P1363
140264849,2014-06-25T11:56:27Z,ru,,,add,ru,P1363
141101173,2014-06-28T13:22:49Z,pl,,,add,pl,P1363
141101207,2014-06-28T13:22:58Z,pl,,,update,pl,P1363
141122874,2014-06-28T14:48:13Z,nl,,,add,nl,P1363
141123030,2014-06-28T14:48:46Z,,nl,,add,nl,P1363
141518122,2014-06-29T19:39:52Z,nb,,,add,nb,P1363
141662623,2014-06-30T10:32:18Z,zh-hant,,,add,zh-hant,P1363
141662712,2014-06-30T10:32:46Z,zh-hant,,,update,zh-hant,P1363
